age;workclass;education;marital-status;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country;result
[44-62); Private; HS-grad; Married-civ-spouse; Adm-clerical; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[28-30); Private; HS-grad; Married-civ-spouse; Craft-repair; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Private; HS-grad; Widowed; Machine-op-inspct; Unmarried; Black; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Private; 11th; Widowed; Other-service; Not-in-family; White; Female;[-inf-57);[-inf-1552);[-inf-35); El-Salvador; <=50K
[62-inf); Self-emp-not-inc; 10th; Married-civ-spouse; Craft-repair; Husband; White; Male;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[24-28); Private; Some-college; Married-civ-spouse; Farming-fishing; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[44-62); Private; HS-grad; Never-married; Adm-clerical; Not-in-family; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[62-inf); Private; HS-grad; Married-civ-spouse; Tech-support; Husband; Asian-Pac-Islander; Male;[-inf-57);[-inf-1552);[50-inf); Philippines; >50K
[22-24); Private; Some-college; Married-civ-spouse; Exec-managerial; Wife; White; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[36-44); Private; Bachelors; Married-civ-spouse; Prof-specialty; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[36-44); Local-gov; Masters; Married-civ-spouse; Prof-specialty; Husband; White; Male;[-inf-57);[-inf-1552);[42-50); United-States; >50K
[24-28); Private; HS-grad; Never-married; Exec-managerial; Not-in-family; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[30-36); Federal-gov; Assoc-acdm; Married-civ-spouse; Tech-support; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Private; Bachelors; Divorced; Adm-clerical; Unmarried; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Private; HS-grad; Married-civ-spouse; Craft-repair; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[24-28); Private; Some-college; Never-married; Adm-clerical; Not-in-family; White; Female;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[24-28); Private; HS-grad; Married-civ-spouse; Machine-op-inspct; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[24-28); Private; 12th; Never-married; Sales; Not-in-family; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Self-emp-not-inc; Assoc-acdm; Married-civ-spouse; Protective-serv; Husband; White; Male;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[30-36); Private; HS-grad; Married-civ-spouse; Craft-repair; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[24-28); Private; 11th; Never-married; Handlers-cleaners; Not-in-family; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Local-gov; Masters; Divorced; Prof-specialty; Unmarried; White; Female;[7074-inf);[-inf-1552);[35-40); United-States; >50K
[28-30); Private; Some-college; Never-married; Exec-managerial; Not-in-family; White; Male;[-inf-57);[-inf-1552);[42-50); United-States; <=50K
[30-36); Private; Some-college; Married-civ-spouse; Exec-managerial; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Private; Some-college; Divorced; Exec-managerial; Not-in-family; White; Female;[-inf-57);[-inf-1552);[40-42); Italy; <=50K
[-inf-22); Private; 11th; Married-civ-spouse; Sales; Other-relative; White; Female;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[36-44); Private; HS-grad; Never-married; Other-service; Own-child; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[28-30); Local-gov; HS-grad; Never-married; Other-service; Own-child; Black; Male;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[36-44); Private; HS-grad; Married-civ-spouse; Adm-clerical; Wife; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[44-62); State-gov; Some-college; Never-married; Exec-managerial; Not-in-family; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[30-36); Private; Bachelors; Separated; Exec-managerial; Unmarried; White; Female;[-inf-57);[-inf-1552);[42-50); United-States; <=50K
[36-44); Self-emp-not-inc; Some-college; Married-civ-spouse; Sales; Husband; White; Male;[7074-inf);[-inf-1552);[-inf-35); United-States; >50K
[44-62); Private; Masters; Married-civ-spouse; Exec-managerial; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[30-36); Self-emp-inc; Bachelors; Divorced; Exec-managerial; Not-in-family; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[28-30); Self-emp-not-inc; HS-grad; Married-civ-spouse; Sales; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; >50K
[36-44); Self-emp-inc; Prof-school; Married-civ-spouse; Prof-specialty; Husband; White; Male;[-inf-57);[-inf-1552);[42-50); United-States; >50K
[30-36); Private; Bachelors; Married-civ-spouse; Sales; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; >50K
[44-62); Private; HS-grad; Never-married; Adm-clerical; Not-in-family; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Private; Some-college; Divorced; Sales; Unmarried; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Private; HS-grad; Married-civ-spouse; Transport-moving; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[30-36); Private; HS-grad; Never-married; Transport-moving; Unmarried; Black; Male;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[24-28); Private; Assoc-voc; Married-civ-spouse; Sales; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[22-24); Private; 10th; Never-married; Craft-repair; Unmarried; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[24-28); Private; Bachelors; Never-married; Tech-support; Not-in-family; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[-inf-22); Private; 11th; Never-married; Other-service; Other-relative; White; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[36-44); Private; HS-grad; Divorced; Farming-fishing; Not-in-family; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Private; Bachelors; Divorced; Exec-managerial; Not-in-family; White; Male;[7074-inf);[-inf-1552);[50-inf); United-States; >50K
[62-inf); Private; HS-grad; Married-civ-spouse; Craft-repair; Husband; White; Male;[7074-inf);[-inf-1552);[40-42); United-States; >50K
[44-62); Private; HS-grad; Married-civ-spouse; Adm-clerical; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[-inf-22); State-gov; Some-college; Never-married; Adm-clerical; Own-child; White; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[36-44); Self-emp-not-inc; Assoc-voc; Married-civ-spouse; Prof-specialty; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[24-28); Private; Some-college; Married-civ-spouse; Craft-repair; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Private; Assoc-voc; Divorced; Adm-clerical; Unmarried; White; Female;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[44-62); Private; HS-grad; Never-married; Handlers-cleaners; Own-child; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[44-62); Private; HS-grad; Separated; Machine-op-inspct; Own-child; Black; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[30-36); Self-emp-not-inc; HS-grad; Separated; Sales; Not-in-family; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[28-30); Private; Some-college; Married-civ-spouse; Handlers-cleaners; Husband; Black; Male;[-inf-57);[-inf-1552);[40-42); Mexico; <=50K
[-inf-22); Private; HS-grad; Never-married; Adm-clerical; Own-child; White; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[-inf-22); Private; 11th; Never-married; Adm-clerical; Own-child; Black; Male;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[36-44); Private; HS-grad; Never-married; Sales; Not-in-family; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[44-62); Self-emp-not-inc; Bachelors; Divorced; Prof-specialty; Not-in-family; White; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[44-62); Local-gov; Bachelors; Divorced; Prof-specialty; Not-in-family; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Private; 7th-8th; Married-civ-spouse; Machine-op-inspct; Wife; White; Female;[-inf-57);[-inf-1552);[50-inf); Canada; >50K
[36-44); Private; HS-grad; Married-civ-spouse; Machine-op-inspct; Husband; White; Male;[-inf-57);[-inf-1552);[42-50); United-States; >50K
[44-62); Private; Some-college; Married-civ-spouse; Sales; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); State-gov; Bachelors; Divorced; Prof-specialty; Not-in-family; White; Female;[-inf-57);[2219-2385);[40-42); United-States; <=50K
[30-36); Private; 11th; Married-civ-spouse; Craft-repair; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[22-24); Private; Some-college; Never-married; Tech-support; Not-in-family; White; Female;[-inf-57);[-inf-1552);[42-50); United-States; <=50K
[22-24); Private; Some-college; Never-married; Exec-managerial; Not-in-family; White; Male;[-inf-57);[-inf-1552);[42-50); United-States; <=50K
[44-62); State-gov; Some-college; Never-married; Prof-specialty; Not-in-family; Black; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[44-62); Private; HS-grad; Married-civ-spouse; Other-service; Own-child; White; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[36-44); Private; Masters; Married-civ-spouse; Exec-managerial; Husband; White; Male;[-inf-57);[-inf-1552);[42-50); United-States; >50K
[24-28); Private; HS-grad; Married-civ-spouse; Transport-moving; Own-child; Other; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Private; Some-college; Never-married; Prof-specialty; Not-in-family; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Self-emp-inc; HS-grad; Divorced; Sales; Not-in-family; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[30-36); Private; Bachelors; Never-married; Sales; Not-in-family; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[62-inf); Local-gov; Some-college; Divorced; Exec-managerial; Not-in-family; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Private; HS-grad; Married-civ-spouse; Transport-moving; Husband; Asian-Pac-Islander; Male;[-inf-57);[-inf-1552);[42-50); United-States; <=50K
[36-44); Self-emp-not-inc; Bachelors; Married-civ-spouse; Machine-op-inspct; Wife; Asian-Pac-Islander; Female;[-inf-57);[-inf-1552);[50-inf); Thailand; <=50K
[44-62); Private; HS-grad; Married-civ-spouse; Transport-moving; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[22-24); Private; Some-college; Never-married; Adm-clerical; Own-child; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Private; Some-college; Divorced; Machine-op-inspct; Own-child; White; Male;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[30-36); Private; HS-grad; Married-civ-spouse; Farming-fishing; Husband; White; Male;[-inf-57);[1569-1821);[50-inf); United-States; <=50K
[-inf-22); Private; 9th; Married-civ-spouse; Machine-op-inspct; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Local-gov; 12th; Married-civ-spouse; Other-service; Husband; White; Male;[-inf-57);[-inf-1552);[35-40); United-States; >50K
[36-44); Private; HS-grad; Separated; Transport-moving; Unmarried; White; Male;[-inf-57);[-inf-1552);[40-42); Mexico; <=50K
[36-44); Private; 11th; Married-civ-spouse; Other-service; Husband; Black; Male;[57-3048);[-inf-1552);[35-40); United-States; <=50K
[30-36); Private; HS-grad; Never-married; Exec-managerial; Unmarried; White; Female;[-inf-57);[-inf-1552);[-inf-35); England; <=50K
[30-36); Private; HS-grad; Divorced; Other-service; Not-in-family; White; Female;[-inf-57);[-inf-1552);[35-40); United-States; <=50K
[30-36); Private; HS-grad; Never-married; Adm-clerical; Unmarried; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[24-28); Private; HS-grad; Never-married; Machine-op-inspct; Not-in-family; Black; Male;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[44-62); Private; Masters; Married-civ-spouse; Exec-managerial; Husband; White; Male;[-inf-57);[-inf-1552);[35-40); United-States; >50K
[30-36); Private; HS-grad; Divorced; Adm-clerical; Unmarried; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Private; HS-grad; Married-civ-spouse; Handlers-cleaners; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Federal-gov; Bachelors; Married-civ-spouse; Adm-clerical; Husband; White; Male;[7074-inf);[-inf-1552);[40-42); United-States; >50K
[30-36); Private; Some-college; Never-married; Adm-clerical; Not-in-family; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Private; 7th-8th; Married-civ-spouse; Craft-repair; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[-inf-22); Private; Some-college; Never-married; Adm-clerical; Own-child; White; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[28-30); Private; HS-grad; Married-civ-spouse; Adm-clerical; Wife; White; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[36-44); Private; Prof-school; Married-civ-spouse; Prof-specialty; Husband; White; Male;[7074-inf);[-inf-1552);[50-inf); United-States; >50K
[-inf-22); Private; 10th; Never-married; Handlers-cleaners; Unmarried; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[36-44); Private; HS-grad; Never-married; Sales; Unmarried; Black; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[24-28); Private; Some-college; Never-married; Exec-managerial; Not-in-family; White; Female;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[36-44); Private; 9th; Married-civ-spouse; Craft-repair; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[30-36); Private; 10th; Divorced; Other-service; Not-in-family; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Private; Some-college; Divorced; Adm-clerical; Not-in-family; Asian-Pac-Islander; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[30-36); Local-gov; Bachelors; Never-married; Prof-specialty; Not-in-family; Black; Female;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[30-36); Private; HS-grad; Married-civ-spouse; Craft-repair; Husband; White; Male;[-inf-57);[1821-1862);[40-42); United-States; >50K
[-inf-22); Private; Some-college; Never-married; Other-service; Other-relative; White; Female;[-inf-57);[-inf-1552);[35-40); United-States; <=50K
[44-62); Private; 7th-8th; Married-civ-spouse; Machine-op-inspct; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[30-36); Self-emp-inc; Some-college; Never-married; Exec-managerial; Not-in-family; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; >50K
[62-inf); Private; HS-grad; Widowed; Farming-fishing; Unmarried; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[62-inf); Self-emp-not-inc; Some-college; Married-civ-spouse; Exec-managerial; Husband; White; Male;[-inf-57);[2162-2177);[-inf-35); United-States; >50K
[-inf-22); Private; 9th; Married-civ-spouse; Other-service; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Private; HS-grad; Married-civ-spouse; Transport-moving; Husband; White; Male;[-inf-57);[-inf-1552);[42-50); United-States; >50K
[30-36); Private; 11th; Married-civ-spouse; Craft-repair; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[28-30); Private; Some-college; Never-married; Other-service; Unmarried; Black; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Private; HS-grad; Married-civ-spouse; Machine-op-inspct; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[44-62); Private; Some-college; Married-civ-spouse; Sales; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[36-44); Private; 11th; Married-civ-spouse; Sales; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[36-44); Federal-gov; Some-college; Married-civ-spouse; Craft-repair; Husband; White; Male;[-inf-57);[1569-1821);[40-42); United-States; <=50K
[-inf-22); Private; 11th; Never-married; Sales; Own-child; Black; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[44-62); Private; HS-grad; Divorced; Craft-repair; Unmarried; White; Female;[-inf-57);[-inf-1552);[42-50); United-States; <=50K
[36-44); Federal-gov; Bachelors; Married-civ-spouse; Prof-specialty; Husband; White; Male;[3120-4244);[-inf-1552);[40-42); United-States; <=50K
[36-44); Private; Assoc-acdm; Married-civ-spouse; Other-service; Wife; White; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[36-44); Private; Some-college; Separated; Sales; Not-in-family; Amer-Indian-Eskimo; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Self-emp-inc; HS-grad; Married-civ-spouse; Prof-specialty; Husband; Black; Male;[-inf-57);[-inf-1552);[50-inf); United-States; >50K
[36-44); Private; HS-grad; Separated; Other-service; Not-in-family; White; Female;[3120-4244);[-inf-1552);[40-42); United-States; <=50K
[30-36); Private; Bachelors; Married-civ-spouse; Prof-specialty; Husband; Other; Male;[-inf-57);[-inf-1552);[40-42); Ecuador; <=50K
[62-inf); Private; Some-college; Married-civ-spouse; Sales; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[-inf-22); Private; 12th; Never-married; Sales; Own-child; White; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[36-44); Self-emp-not-inc; Bachelors; Never-married; Exec-managerial; Not-in-family; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[22-24); Private; HS-grad; Never-married; Machine-op-inspct; Not-in-family; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Private; Assoc-voc; Divorced; Adm-clerical; Unmarried; Black; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Self-emp-not-inc; Masters; Divorced; Prof-specialty; Not-in-family; White; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[24-28); Private; 10th; Never-married; Other-service; Not-in-family; White; Male;[-inf-57);[-inf-1552);[50-inf); Mexico; <=50K
[22-24); Private; Some-college; Married-spouse-absent; Handlers-cleaners; Unmarried; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Self-emp-not-inc; HS-grad; Married-civ-spouse; Farming-fishing; Husband; Asian-Pac-Islander; Male;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[30-36); Private; HS-grad; Divorced; Tech-support; Unmarried; White; Female;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[44-62); Private; Masters; Divorced; Prof-specialty; Not-in-family; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[30-36); Private; HS-grad; Married-civ-spouse; Exec-managerial; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[24-28); Private; Bachelors; Separated; Prof-specialty; Not-in-family; Asian-Pac-Islander; Male;[-inf-57);[-inf-1552);[40-42); Philippines; >50K
[44-62); Private; Assoc-acdm; Married-civ-spouse; Machine-op-inspct; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[24-28); Private; Some-college; Married-civ-spouse; Craft-repair; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[36-44); Private; Some-college; Married-civ-spouse; Craft-repair; Husband; White; Male;[-inf-57);[-inf-1552);[42-50); United-States; >50K
[44-62); Private; HS-grad; Never-married; Other-service; Own-child; White; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[30-36); Local-gov; Bachelors; Married-civ-spouse; Protective-serv; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; >50K
[36-44); Private; Assoc-voc; Married-civ-spouse; Adm-clerical; Husband; White; Male;[7074-inf);[-inf-1552);[40-42); United-States; >50K
[22-24); Private; Assoc-voc; Separated; Exec-managerial; Own-child; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[30-36); Self-emp-inc; Bachelors; Married-civ-spouse; Sales; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; >50K
[30-36); Private; Some-college; Married-civ-spouse; Other-service; Husband; Black; Male;[-inf-57);[-inf-1552);[35-40); United-States; <=50K
[30-36); Private; Some-college; Married-civ-spouse; Exec-managerial; Husband; White; Male;[3120-4244);[-inf-1552);[40-42); United-States; <=50K
[24-28); Private; HS-grad; Never-married; Transport-moving; Own-child; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[30-36); Local-gov; HS-grad; Never-married; Adm-clerical; Unmarried; Amer-Indian-Eskimo; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[24-28); Private; Bachelors; Never-married; Exec-managerial; Not-in-family; White; Male;[-inf-57);[1862-1882);[40-42); United-States; <=50K
[30-36); Self-emp-not-inc; HS-grad; Never-married; Farming-fishing; Own-child; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[30-36); Private; Doctorate; Married-civ-spouse; Prof-specialty; Husband; White; Male;[-inf-57);[-inf-1552);[42-50); United-States; >50K
[28-30); Private; Some-college; Married-civ-spouse; Craft-repair; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[24-28); Local-gov; Masters; Never-married; Prof-specialty; Not-in-family; White; Female;[57-3048);[-inf-1552);[40-42); United-States; <=50K
[36-44); Self-emp-not-inc; HS-grad; Never-married; Craft-repair; Own-child; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Self-emp-inc; Some-college; Married-civ-spouse; Exec-managerial; Husband; White; Male;[3048-3120);[-inf-1552);[50-inf); United-States; >50K
[44-62); Private; Some-college; Divorced; Exec-managerial; Not-in-family; White; Female;[-inf-57);[-inf-1552);[50-inf); United-States; >50K
[36-44); Private; Some-college; Separated; Craft-repair; Unmarried; White; Male;[4933-4974);[-inf-1552);[42-50); United-States; >50K
[44-62); Private; 7th-8th; Married-civ-spouse; Craft-repair; Husband; Asian-Pac-Islander; Male;[-inf-57);[-inf-1552);[40-42); Vietnam; <=50K
[44-62); Federal-gov; Some-college; Married-civ-spouse; Tech-support; Husband; Asian-Pac-Islander; Male;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[28-30); Private; Bachelors; Married-civ-spouse; Tech-support; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; >50K
[30-36); Private; HS-grad; Married-civ-spouse; Machine-op-inspct; Husband; Other; Male;[-inf-57);[-inf-1552);[40-42); Mexico; <=50K
[44-62); Private; Masters; Married-civ-spouse; Exec-managerial; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; >50K
[62-inf); State-gov; HS-grad; Married-civ-spouse; Protective-serv; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[-inf-22); Private; Some-college; Never-married; Adm-clerical; Own-child; White; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[44-62); Private; HS-grad; Widowed; Sales; Unmarried; White; Female;[-inf-57);[-inf-1552);[-inf-35); Mexico; <=50K
[44-62); Private; 5th-6th; Married-civ-spouse; Craft-repair; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[30-36); Private; HS-grad; Married-civ-spouse; Machine-op-inspct; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[62-inf); Private; HS-grad; Married-civ-spouse; Craft-repair; Husband; White; Male;[-inf-57);[-inf-1552);[35-40); United-States; <=50K
[44-62); Private; Bachelors; Divorced; Exec-managerial; Unmarried; White; Female;[-inf-57);[-inf-1552);[42-50); United-States; <=50K
[36-44); Private; Bachelors; Never-married; Prof-specialty; Not-in-family; White; Male;[7074-inf);[-inf-1552);[40-42); United-States; >50K
[44-62); Local-gov; Bachelors; Married-civ-spouse; Prof-specialty; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[36-44); Self-emp-not-inc; Some-college; Married-civ-spouse; Prof-specialty; Own-child; White; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[36-44); Private; HS-grad; Married-civ-spouse; Sales; Husband; White; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[28-30); Private; HS-grad; Never-married; Adm-clerical; Not-in-family; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Local-gov; Masters; Married-civ-spouse; Prof-specialty; Husband; White; Male;[7074-inf);[-inf-1552);[50-inf); United-States; >50K
[24-28); Private; HS-grad; Married-civ-spouse; Machine-op-inspct; Wife; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Self-emp-not-inc; HS-grad; Married-civ-spouse; Other-service; Husband; White; Male;[7074-inf);[-inf-1552);[50-inf); United-States; >50K
[-inf-22); Private; HS-grad; Never-married; Adm-clerical; Own-child; White; Female;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[44-62); Private; Some-college; Married-civ-spouse; Exec-managerial; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; >50K
[62-inf); Private; Some-college; Widowed; Adm-clerical; Not-in-family; White; Female;[57-3048);[-inf-1552);[-inf-35); United-States; <=50K
[62-inf); Private; Masters; Never-married; Prof-specialty; Not-in-family; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[44-62); Private; Bachelors; Married-civ-spouse; Exec-managerial; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; >50K
[-inf-22); Private; 12th; Never-married; Handlers-cleaners; Own-child; White; Male;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[24-28); Private; Some-college; Never-married; Prof-specialty; Not-in-family; Black; Male;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[44-62); Private; HS-grad; Divorced; Machine-op-inspct; Not-in-family; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[44-62); Private; Some-college; Married-civ-spouse; Sales; Husband; White; Male;[-inf-57);[-inf-1552);[42-50); United-States; <=50K
[22-24); Private; Some-college; Never-married; Handlers-cleaners; Other-relative; White; Male;[-inf-57);[-inf-1552);[-inf-35); Mexico; <=50K
[36-44); Self-emp-not-inc; Some-college; Married-civ-spouse; Exec-managerial; Husband; White; Male;[-inf-57);[-inf-1552);[50-inf); United-States; <=50K
[30-36); Private; 12th; Never-married; Adm-clerical; Unmarried; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; <=50K
[36-44); Private; 1st-4th; Widowed; Prof-specialty; Unmarried; White; Female;[-inf-57);[-inf-1552);[-inf-35); Mexico; <=50K
[36-44); Private; HS-grad; Married-civ-spouse; Handlers-cleaners; Husband; White; Male;[-inf-57);[-inf-1552);[-inf-35); United-States; <=50K
[36-44); Private; Prof-school; Separated; Tech-support; Not-in-family; White; Male;[-inf-57);[-inf-1552);[50-inf); Columbia; >50K
[36-44); Private; Some-college; Married-civ-spouse; Tech-support; Wife; White; Female;[-inf-57);[-inf-1552);[40-42); United-States; >50K
